id,title,keywords,category,language,pages,file_ext,file_size_mb,download_count,view_count,score,price,uploader,created_at,uuid,detail_url,description
311759,大方广佛华严经浅释（第五册，全八册）-繁体横排-宣化上人讲述-高清扫描版,"大方,广佛,华严经,浅释,第五,五册,第五册,八册,繁体,横排,宣化,上人,讲述,高清,扫描",佛经及注疏 > 其他,zh-TW,499,.pdf,72.64,13,53,300,1,兆中吴,2026-08-20T13:41:16Z,aa5844bde2b8e806,https://shu.fo/document/aa5844bde2b8e806,缘灭太快，绝版书籍回向法界！ 珍↙’ 火 ▲才 廣 佛 華 嚴 經 淺 釋 美國萬佛聖城宣化上人講述 T越 目 錄 卷三十四 十地品第二十六之一第一歡喜地／ 1 卷三十五 十地品第二十六之二第二離垢地／44 卷三十五 十地品第二十六之二第三發光地∕68 卷三十六 十地品第二十六之三第四焰慧地／86 卷三十六 十地品第二十六之三第五難勝地∕101 卷三十七 十地品第二十六之四第六現前地∕120 卷三
311758,大方广佛华严经浅释（第一册，全八册）-繁体横排-宣化上人讲述-高清扫描版,"大方,广佛,华严经,浅释,第一,一册,第一册,八册,繁体,横排,宣化,上人,讲述,高清,扫描",佛经及注疏 > 其他,zh-TW,483,.pdf,68.41,17,59,300,1,兆中吴,2026-08-20T13:41:14Z,9ff45c57afb6dbb9,https://shu.fo/document/9ff45c57afb6dbb9,"缘灭太快，绝版书籍回向法界！ ↗ 火 ▲才 廣 佛 華 嚴 經 戾 釋 』 美國萬佛聖城宣化上人講述 《大方廣佛華嚴經》在佛教中的地位 摘自宣化上人升示 《華嚴經》在佛經襄是經中之王’王中之王。《妙法蓮華經》也是經 中之王,可是不能稱烏王中之王;這部《大方廣佛華嚴經》卻是王中之王’ 是佛所說大乘經典之中最長’但講的時間並不太長’釋迦牟尼佛只用了 二十－天來講這部華嚴大經。 這部經的品數和卷數’傳入"
311757,大方广佛华严经浅释（第四册，全八册）-繁体横排-宣化上人讲述-高清扫描版,"大方,广佛,华严经,浅释,第四,四册,第四册,八册,繁体,横排,宣化,上人,讲述,高清,扫描",佛经及注疏 > 其他,zh-TW,491,.pdf,74.8,13,31,300,1,兆中吴,2026-08-20T13:40:32Z,e291bc62d3aa9cbc,https://shu.fo/document/e291bc62d3aa9cbc,缘灭太快，绝版书籍回向法界！ ↙ 火 ﹄ ▲才 廣 佛 華 嚴 經 淺 釋 美∣國萬佛聖城宣化上人講述 l ∣ ﹨ 她 目 蠡 卷二十三 兜率宮中侷贊品第二十四／1 卷二十三 十迴向品第二十五之-／37 卷二十四 十迴向品第二十五之二∕80 第二十五 十迴向品第二十五之三∕144 卷二十六 十迴向品第二十五之四∕202 卷二十七 十迴向品第二十五之五／237 卷二十八 十迴向品第二十五之六／283
311756,大方广佛华严经浅释（第三册，全八册）-繁体横排-宣化上人讲述-高清扫描版,"大方,广佛,华严经,浅释,第三,三册,第三册,八册,繁体,横排,宣化,上人,讲述,高清,扫描",佛经及注疏 > 其他,zh-TW,499,.pdf,70.15,13,35,300,1,兆中吴,2026-08-20T13:40:30Z,5173547b407e6564,https://shu.fo/document/5173547b407e6564,缘灭太快，绝版书籍回向法界！ 火 ▲才 廣 佛 華 嚴 經 淺 釋 美國萬佛聖城宣化上人講述 牠 錄 ︼﹦︼╴ 卷十四 賢首品第十二之-∕ l 卷十五 賢首品第十二之二 卷十六 昇須彌山頂品第十三 卷十六 須彌頂上愒讚品第十四 卷十六 十住品第十五 卷十七 梵行品第十六 卷十七 初發心功德品第十七 卷十八 明法品第十八 卷十九 升夜摩天宮品第十九 卷十九 夜摩宮中愒讚品第二十 卷二十 十行品第二十
311755,大方广佛华严经浅释（第七册，全八册）-繁体横排-宣化上人讲述-高清扫描版,"大方,广佛,华严经,浅释,第七,七册,第七册,八册,繁体,横排,宣化,上人,讲述,高清,扫描",佛经及注疏 > 其他,zh-TW,482,.pdf,69.94,13,28,300,1,兆中吴,2026-08-20T13:39:34Z,269802cb284dd383,https://shu.fo/document/269802cb284dd383,缘灭太快，绝版书籍回向法界！ ﹄ 』7 火 ▲ 巧‧ 廣 佛 華 嚴 經 淺 釋 美國萬佛聖城宣化上人講述 ╴一 ﹛甦璽 目 錄 卷六十 入法界品第三十九之一∕ 1 卷六十- 入法界品第三十九之二／47 卷第六十二 入法界品第三十九之三∕74 卷第六十三 入法界品第三十九之四∕107 卷六十四 入法界品第三十九之五∕140 卷六十五 入法界品第三十九之六∕168 卷第六十六 入法界品第三十九之七∕
311754,大方广佛华严经浅释（第六册，全八册）-繁体横排-宣化上人讲述-高清扫描版,"大方,广佛,华严经,浅释,第六,六册,第六册,八册,繁体,横排,宣化,上人,讲述,高清,扫描",佛经及注疏 > 其他,zh-TW,473,.pdf,68.38,13,30,300,1,兆中吴,2026-08-20T13:39:34Z,ca0e1468ea855fb6,https://shu.fo/document/ca0e1468ea855fb6,缘灭太快，绝版书籍回向法界！ 火 ▲才 廣 佛 華 嚴 經 淺 釋 美國萬佛聖城宣化上人講述 ﹃ T汪璽 錄 ∣﹦ 」■■■■■ 卷四十六 佛不思議法品第三十三之╴ 卷四十七 佛不思議法品第三十三之二 卷四十八 如來十身相海品第三十四 卷四十八 如來隨好光明功德品第三十五 卷四十九 普賢行品第三十六 卷五十 如來出現品第三十七之- 卷五十一 如來出現品第三十七之二 卷五十二 如來出現品第三十七之三
311753,大方广佛华严经浅释（第二册，全八册）-繁体横排-宣化上人讲述-高清扫描版,"大方,广佛,华严经,浅释,第二,二册,第二册,八册,繁体,横排,宣化,上人,讲述,高清,扫描",佛经及注疏 > 其他,zh-TW,471,.pdf,65.6,14,31,300,1,兆中吴,2026-08-20T13:38:58Z,679e6615f49ade50,https://shu.fo/document/679e6615f49ade50,缘灭太快，绝版书籍回向法界！ 火 才 廣 佛 華 嚴 經 淺 釋 美國萬佛聖城宣化上人講述 《甦璽 目 蠡 卷六 如來現相品第二∕ 1 卷七 普賢三昧品第三∕ 60 卷七 世界成就品第四∕71 卷八 華藏世界品第五之╴／122 卷九 華藏世界品第五之二∕157 卷十 華藏世界品第五之三／186 卷十- 毗盧遮那品第六∕222 卷十二 如來名號品第七／247 卷十二 四聖諦品第八／272 卷十三 光
311752,大方广佛华严经浅释（第八册，全八册）-繁体横排-宣化上人讲述-高清扫描版,"大方,广佛,华严经,浅释,第八,八册,第八册,繁体,横排,宣化,上人,讲述,高清,扫描",佛经及注疏 > 其他,zh-TW,417,.pdf,62.01,13,41,300,1,兆中吴,2026-08-20T13:38:58Z,a2b848121d17bd88,https://shu.fo/document/a2b848121d17bd88,缘灭太快，绝版书籍回向法界！ 火 ▲才 廣 佛 華 嚴 經 淺 釋 美國萬佛聖城宣化上人講述 ∣ Ⅱ■F ∣ 《≧璽 錄 ∣≡ 卷七十四 入法界品第三十九之十五 卷七十五 入法界品第三十九之十六 卷七十六 入法界品第三十九之十七 卷七十七 入法界品第三十九之十八 卷七十八 入法界品第三十九之十九 卷七十九 入法界品第三十九之二十 卷八十 入法界品第三十九之二十－ 卷八十- 入不思議解脫境界普賢行願
311751,《因果录》白话,"因果,白话",基础 > 佛法基础 > 因果报应,,153,.docx,2.79,6,9,300,0,sjlinlll,2026-08-19T14:58:46Z,91bbe9978190813d,https://shu.fo/document/91bbe9978190813d,~ I ~ 因果录 印光大师 鉴定 金 昌 原辑 万 钧 重编 莲 嘉 译白 （白话译尚未定稿） 目 录 目 录.......................................................................................3 序一.....................................................
311750,禅宗与道家,"禅宗,道家",论著 > 现代著述 > 南怀瑾,zh-CN,95,.txt,0.38,1,2,300,0,bian477,2026-08-19T13:34:22Z,77af1686533649e3,https://shu.fo/document/77af1686533649e3,禅宗与道家 南怀瑾先生著 -------------------------------------------------------------------------------- 上册目录： 前言 第一部 禅宗与佛学 一、佛学与中国文化的因缘 二、佛学内容简介 三、禅宗概要 四、禅宗丛林制度与中国文化教育的精神 前言 去秋今春，两度应刘白、先生之约，在政大教育研究所讲述道佛两家学术思想与中
